base_case,publication_status,absolute_projection_accepted,failure_reason,base_display_name,effectiveness_case,effectiveness_display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,co2_difference_vs_matched_no_aether_2100_ppm,co2_ppm_2046,co2_ppm_2050,co2_ppm_2100,minimum_co2_ppm,minimum_co2_year,cumulative_planned_gross_removal_gtco2,cumulative_actual_gross_removal_gtco2,cumulative_effective_removal_gtco2,actual_to_planned_gross_ratio,effective_to_actual_gross_ratio,ppm_penalty_vs_fixed_current_2100,paper_use_rule
aether_half_2046_zero_2060,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus delayed zero,fixed_0p96_current,Fixed 0.96 current screen,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-130.760224,368.374236,350.000000,350.000000,350.000000,2049,6450.000000,2070.955893,1988.117658,0.321078,0.960000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_half_2046_zero_2060,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus delayed zero,optimistic_active_management,Optimistic active management,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-130.760224,368.907583,350.000000,350.000000,350.000000,2049,6450.000000,2192.314738,1988.355638,0.339894,0.906966,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus net-zero 2050,asymmetry_stress,Asymmetry stress,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,375.439919,353.774723,350.000000,350.000000,2051,6450.000000,2564.095242,1710.998431,0.397534,0.667291,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus net-zero 2050,conservative_state_dependent,Conservative state-dependent,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,365.683233,350.000000,350.000000,350.000000,2049,6450.000000,2221.576843,1717.210666,0.344431,0.772969,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus net-zero 2050,fixed_0p96_current,Fixed 0.96 current screen,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,353.601954,350.000000,350.000000,350.000000,2047,6450.000000,1793.307538,1721.575236,0.278032,0.960000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,AETHER plus net-zero 2050,optimistic_active_management,Optimistic active management,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,355.537755,350.000000,350.000000,350.000000,2047,6450.000000,1912.006001,1721.734442,0.296435,0.900486,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050_25pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, net-zero 2050, 25% rebound",asymmetry_stress,Asymmetry stress,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,395.481327,379.462157,350.000000,350.000000,2062,6450.000000,4055.431695,2697.852912,0.628749,0.665244,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050_25pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, net-zero 2050, 25% rebound",conservative_state_dependent,Conservative state-dependent,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,387.347012,367.819265,350.000000,350.000000,2055,6450.000000,3241.290234,2508.347594,0.502526,0.773873,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050_25pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, net-zero 2050, 25% rebound",fixed_0p96_current,Fixed 0.96 current screen,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,379.856010,352.993083,350.000000,350.000000,2051,6450.000000,2402.760900,2306.650464,0.372521,0.960000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
aether_net_zero_2050_25pct_rebound,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"AETHER, net-zero 2050, 25% rebound",optimistic_active_management,Optimistic active management,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",-114.017733,379.534343,355.272898,350.000000,350.000000,2051,6450.000000,2588.500488,2353.411559,0.401318,0.909179,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_constant_emissions_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, constant emissions",asymmetry_stress,Asymmetry stress,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,491.348233,503.560470,660.958037,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_constant_emissions_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, constant emissions",conservative_state_dependent,Conservative state-dependent,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,491.348233,503.560470,660.958037,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_constant_emissions_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, constant emissions",fixed_0p96_current,Fixed 0.96 current screen,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,491.348233,503.560470,660.958037,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_constant_emissions_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, constant emissions",optimistic_active_management,Optimistic active management,constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,491.348233,503.560470,660.958037,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_half_2046_zero_2060_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, half_2046_zero_2060",asymmetry_stress,Asymmetry stress,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,469.189810,472.240455,480.760224,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_half_2046_zero_2060_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, half_2046_zero_2060",conservative_state_dependent,Conservative state-dependent,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,469.189810,472.240455,480.760224,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_half_2046_zero_2060_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, half_2046_zero_2060",fixed_0p96_current,Fixed 0.96 current screen,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,469.189810,472.240455,480.760224,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_half_2046_zero_2060_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, half_2046_zero_2060",optimistic_active_management,Optimistic active management,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,469.189810,472.240455,480.760224,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_net_zero_2050_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, net_zero_2050",asymmetry_stress,Asymmetry stress,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,454.417528,452.268904,464.017733,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_net_zero_2050_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, net_zero_2050",conservative_state_dependent,Conservative state-dependent,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,454.417528,452.268904,464.017733,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_net_zero_2050_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, net_zero_2050",fixed_0p96_current,Fixed 0.96 current screen,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,454.417528,452.268904,464.017733,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
baseline_net_zero_2050_no_aether,quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,"No AETHER, net_zero_2050",optimistic_active_management,Optimistic active management,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",0.000000,454.417528,452.268904,464.017733,431.992416,2026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"quarantined off-reference diagnostic; requires internally consistent historically initialized emissions-driven validation, not forcing-mode agreement"
