key,cited_in_paper,in_bibtex,coverage_status,entry_type,year,title,url,doi
nist_cryogenic_fluid_properties,true,true,ok,misc,2026,Cryogenic Fluid Properties,https://trc.nist.gov/cryogenics/fluidProperties.html,
nist_thermophysical_fluids_2009,true,true,ok,misc,2009,Thermophysical Properties of Fluids,https://www.nist.gov/publications/thermophysical-properties-fluids,
noaa_gml_global_co2_2026,true,true,ok,misc,2026,Trends in Atmospheric Carbon Dioxide: Global Monthly Mean CO2,https://www.gml.noaa.gov/ccgg/trends/global.html,
noaa_gml_mauna_loa_co2_2026,true,true,ok,misc,2026,Trends in Atmospheric Carbon Dioxide: Monthly Average Mauna Loa CO2,https://gml.noaa.gov/ccgg/trends/,
nrel_atb_2024_electricity,true,true,ok,misc,2024,2024 Electricity Annual Technology Baseline,https://atb.nrel.gov/electricity/2024/technologies,
nrel_atb_land_wind_2024,true,true,ok,misc,2024,Land-Based Wind: 2024 Electricity Annual Technology Baseline,https://atb.nrel.gov/electricity/2024b/land-based_wind,
nrel_atb_nuclear_2024,true,true,ok,misc,2024,Nuclear: 2024 Electricity Annual Technology Baseline,https://atb.nrel.gov/electricity/2024/nuclear,
nrel_solar_land_use_2013,true,true,ok,techreport,2013,Land-Use Requirements for Solar Power Plants in the United States,https://docs.nrel.gov/docs/fy13osti/56290.pdf,
onepointfive_stratos_2026,true,true,ok,misc,2026,About 1PointFive,https://www.1pointfive.com/about,
osha_graphite_natural_chemicaldata_2020,true,true,ok,misc,2020,"Graphite (Natural), Respirable Fraction",https://www.osha.gov/chemicaldata/665,
ostrom_governing_commons_1990,true,true,ok,book,1990,Governing the Commons: The Evolution of Institutions for Collective Action,,
oxford_offsetting_principles_2024,true,true,ok,misc,2024,Oxford Principles for Net Zero Aligned Carbon Offsetting: Revised 2024,https://www.smithschool.ox.ac.uk/sites/default/files/2024-02/Oxford-Principles-for-Net-Zero-Aligned-Carbon-Offsetting-revised-2024.pdf,
pubchem_magnesium_carbonate_2026,true,true,ok,misc,2026,PubChem Compound Summary for Magnesium Carbonate,https://pubchem.ncbi.nlm.nih.gov/compound/Magnesium-carbonate,
realmonte_2019_daccs_iam,true,true,ok,article,2019,An inter-model assessment of the role of direct air capture in deep mitigation pathways,https://www.nature.com/articles/s41467-019-10842-5,10.1038/s41467-019-10842-5
roads_to_removal_2023,true,true,ok,techreport,2023,Roads to Removal: Options for Carbon Dioxide Removal in the United States,https://www.osti.gov/biblio/2301853,10.2172/2301853
sorrell_2009_jevons_rebound,true,true,ok,article,2009,Jevons' Paradox Revisited: The Evidence for Backfire from Improved Energy Efficiency,,10.1016/j.enpol.2008.12.003
sriram_2023_opendac,true,true,ok,misc,2023,The Open DAC 2023 Dataset and Challenges for Sorbent Discovery in Direct Air Capture,https://arxiv.org/abs/2311.00341,
state_of_cdr_2026,true,true,ok,misc,2026,The State of Carbon Dioxide Removal: 3rd Edition,https://www.stateofcdr.org/report/3rd-edition,
thompson_2012_learning_by_doing,true,true,ok,article,2012,The Relationship between Unit Cost and Cumulative Quantity and the Evidence for Organizational Learning-by-Doing,,10.1257/jep.26.3.203
unitree_g1_product_2026,true,true,ok,misc,2026,Unitree G1 Humanoid Robot,https://www.unitree.com/mobile/g1/,
usgs_anderson_storage_risk_liability_2017,true,true,ok,article,2017,"Risk, liability, and economic issues with long-term CO2 storage--A review",https://www.usgs.gov/publications/risk-liability-and-economic-issues-long-term-co2-storage-a-review,10.1007/s11053-016-9303-6
usgs_circular_1386_geologic_storage,true,true,ok,techreport,2013,National Assessment of Geologic Carbon Dioxide Storage Resources--Results,https://pubs.usgs.gov/circ/1386/,
usgs_graphite_mcs_2026,true,true,ok,misc,2026,Mineral Commodity Summaries 2026: Graphite (Natural),https://pubs.usgs.gov/periodicals/mcs2026/mcs2026-graphite.pdf,
usgs_mcs_2025_cement,true,true,ok,techreport,2025,Mineral Commodity Summaries 2025,https://doi.org/10.3133/mcs2025,10.3133/mcs2025
worldsteel_figures_2025,true,true,ok,misc,2025,World Steel in Figures 2025,https://worldsteel.org/data/world-steel-in-figures/world-steel-in-figures-2025/,
wri_scaling_dac_impacts_2024,true,true,ok,misc,2024,Direct Air Capture: Assessing Impacts to Enable Responsible Scaling,https://publications.wri.org/scaling-dac-in-the-us/introduction,
wright_1936_learning_curve,true,true,ok,article,1936,Factors Affecting the Cost of Airplanes,,10.2514/8.155
young_2023_dacs_cost_targets,true,true,ok,article,2023,The cost of direct air capture and storage can be reduced via strategic deployment but is unlikely to fall below stated cost targets,https://www.sciencedirect.com/science/article/pii/S2590332223003007,10.1016/j.oneear.2023.06.004
zickfeld_2021_asymmetry,true,true,ok,article,2021,Asymmetry in the climate-carbon cycle response to positive and negative CO2 emissions,https://www.nature.com/articles/s41558-021-01061-2,10.1038/s41558-021-01061-2
