scenario_id,case,forcing_policy,year,species_group,fair_input_hint,current_proxy_value,proxy_units,current_status,readiness_score_0_1,priority,publication_gap,next_dataset,paper_use_rule
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2027,lifecycle_species_trace,"CO2, CH4, N2O lifecycle emissions",,,missing,0.0,P0,"Lifecycle emissions are route-level CO2e stress tests, not annual species traces.","pathway-specific LCA time series with CO2, CH4, N2O, replacement, recycling, and decommissioning",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2027,historical_spinup_state,"historical emissions, concentrations, forcing, and temperature initialization",1.365832,deg C screening initial state,provisional_proxy,0.62,P0,"The 2026 initialization is a screening state, not a full historical reconstruction.","historical emissions, concentration, forcing, and observed-temperature spin-up through 2026",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2027,ZEC_and_net_negative_response,zero-emissions commitment and net-negative response diagnostic,,,missing,0.0,P0,ZEC and net-negative temperature-response behavior are not separated from the forcing screen.,ZEC and net-negative response experiment set for AETHER net-zero and drawdown cases,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,net_CO2_proxy,CO2 emissions/removals,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Net CO2 is a derived pulse, not separated into fossil, industrial, land-use, and removal streams.","annual fossil/industrial CO2, land-use CO2, and removals by pathway and region",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,gross_CDR_by_method,negative CO2 emissions by removal method,-0.0,GtCO2/year,provisional_proxy,0.62,P0,"Gross removal is not split by DACCS, mineralization, ocean alkalinity, BECCS, biochar, afforestation, or direct ocean CDR.","method-specific annual gross removal, durability, leakage, and MRV-adjusted crediting traces",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,fossil_industrial_CO2,CO2 fossil and industrial emissions,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Positive emissions are scenario-level totals, not sector-specific fossil and industrial traces.","sectoral fossil/industrial emissions pathways under no-AETHER, rebound, and net-zero cases",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,land_use_CO2,land-use CO2 emissions,,,missing,0.0,P0,"Land-use CO2 is missing even though BECCS, afforestation, biomass supply, and land footprints matter.",land-use emissions and removals by land-intensive pathway,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,CH4,methane emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Methane is buried inside aggregate non-CO2 forcing.,"CH4 baseline, mitigation, leakage, agriculture, fossil, and rebound trajectories",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,N2O,nitrous oxide emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Nitrous oxide is buried inside aggregate non-CO2 forcing and may move with bioenergy and land-use cases.,"N2O baseline and mitigation pathways, including bioenergy and agriculture interactions",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,halogenated_gases,F-gases and ozone-depleting substances,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Halogenated gases are not separated from aggregate non-CO2 forcing.,species-level F-gas and ODS pathways or imported assessed scenario trajectories,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,ozone_precursors,"NOx, CO, VOC emissions",0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Tropospheric ozone chemistry is not represented.,"NOx, CO, and VOC pathways or assessed scenario imports",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,SO2_aerosol_precursor,sulfur dioxide emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P0,"Aerosol cooling is an aggregate forcing path, not precursor-emissions chemistry.","SO2 emissions by energy, industry, and cleanup scenario",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,black_carbon,BC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Black-carbon forcing is not separated from aggregate aerosol forcing.,BC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,organic_carbon,OC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Organic-carbon forcing is not separated from aggregate aerosol forcing.,OC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,ammonia_nitrate,NH3 and nitrate aerosol precursors,,,missing,0.0,P1,Nitrate aerosol chemistry and ammonia precursors are missing.,NH3 and nitrate-relevant precursor pathways,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,land_use_albedo_forcing,land-use forcing,,,missing,0.0,P1,Land-use albedo and biogeophysical response are missing.,"land-use forcing by afforestation, biomass, solar/industrial land, and materials footprints",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,lifecycle_species_trace,"CO2, CH4, N2O lifecycle emissions",,,missing,0.0,P0,"Lifecycle emissions are route-level CO2e stress tests, not annual species traces.","pathway-specific LCA time series with CO2, CH4, N2O, replacement, recycling, and decommissioning",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,historical_spinup_state,"historical emissions, concentrations, forcing, and temperature initialization",1.382032,deg C screening initial state,provisional_proxy,0.62,P0,"The 2026 initialization is a screening state, not a full historical reconstruction.","historical emissions, concentration, forcing, and observed-temperature spin-up through 2026",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2028,ZEC_and_net_negative_response,zero-emissions commitment and net-negative response diagnostic,,,missing,0.0,P0,ZEC and net-negative temperature-response behavior are not separated from the forcing screen.,ZEC and net-negative response experiment set for AETHER net-zero and drawdown cases,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,net_CO2_proxy,CO2 emissions/removals,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Net CO2 is a derived pulse, not separated into fossil, industrial, land-use, and removal streams.","annual fossil/industrial CO2, land-use CO2, and removals by pathway and region",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,gross_CDR_by_method,negative CO2 emissions by removal method,-0.0,GtCO2/year,provisional_proxy,0.62,P0,"Gross removal is not split by DACCS, mineralization, ocean alkalinity, BECCS, biochar, afforestation, or direct ocean CDR.","method-specific annual gross removal, durability, leakage, and MRV-adjusted crediting traces",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,fossil_industrial_CO2,CO2 fossil and industrial emissions,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Positive emissions are scenario-level totals, not sector-specific fossil and industrial traces.","sectoral fossil/industrial emissions pathways under no-AETHER, rebound, and net-zero cases",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,land_use_CO2,land-use CO2 emissions,,,missing,0.0,P0,"Land-use CO2 is missing even though BECCS, afforestation, biomass supply, and land footprints matter.",land-use emissions and removals by land-intensive pathway,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,CH4,methane emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Methane is buried inside aggregate non-CO2 forcing.,"CH4 baseline, mitigation, leakage, agriculture, fossil, and rebound trajectories",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,N2O,nitrous oxide emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Nitrous oxide is buried inside aggregate non-CO2 forcing and may move with bioenergy and land-use cases.,"N2O baseline and mitigation pathways, including bioenergy and agriculture interactions",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,halogenated_gases,F-gases and ozone-depleting substances,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Halogenated gases are not separated from aggregate non-CO2 forcing.,species-level F-gas and ODS pathways or imported assessed scenario trajectories,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,ozone_precursors,"NOx, CO, VOC emissions",0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Tropospheric ozone chemistry is not represented.,"NOx, CO, and VOC pathways or assessed scenario imports",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,SO2_aerosol_precursor,sulfur dioxide emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P0,"Aerosol cooling is an aggregate forcing path, not precursor-emissions chemistry.","SO2 emissions by energy, industry, and cleanup scenario",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,black_carbon,BC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Black-carbon forcing is not separated from aggregate aerosol forcing.,BC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,organic_carbon,OC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Organic-carbon forcing is not separated from aggregate aerosol forcing.,OC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,ammonia_nitrate,NH3 and nitrate aerosol precursors,,,missing,0.0,P1,Nitrate aerosol chemistry and ammonia precursors are missing.,NH3 and nitrate-relevant precursor pathways,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,land_use_albedo_forcing,land-use forcing,,,missing,0.0,P1,Land-use albedo and biogeophysical response are missing.,"land-use forcing by afforestation, biomass, solar/industrial land, and materials footprints",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,lifecycle_species_trace,"CO2, CH4, N2O lifecycle emissions",,,missing,0.0,P0,"Lifecycle emissions are route-level CO2e stress tests, not annual species traces.","pathway-specific LCA time series with CO2, CH4, N2O, replacement, recycling, and decommissioning",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,historical_spinup_state,"historical emissions, concentrations, forcing, and temperature initialization",1.400508,deg C screening initial state,provisional_proxy,0.62,P0,"The 2026 initialization is a screening state, not a full historical reconstruction.","historical emissions, concentration, forcing, and observed-temperature spin-up through 2026",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2029,ZEC_and_net_negative_response,zero-emissions commitment and net-negative response diagnostic,,,missing,0.0,P0,ZEC and net-negative temperature-response behavior are not separated from the forcing screen.,ZEC and net-negative response experiment set for AETHER net-zero and drawdown cases,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,net_CO2_proxy,CO2 emissions/removals,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Net CO2 is a derived pulse, not separated into fossil, industrial, land-use, and removal streams.","annual fossil/industrial CO2, land-use CO2, and removals by pathway and region",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,gross_CDR_by_method,negative CO2 emissions by removal method,-0.0,GtCO2/year,provisional_proxy,0.62,P0,"Gross removal is not split by DACCS, mineralization, ocean alkalinity, BECCS, biochar, afforestation, or direct ocean CDR.","method-specific annual gross removal, durability, leakage, and MRV-adjusted crediting traces",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,fossil_industrial_CO2,CO2 fossil and industrial emissions,42.2,GtCO2/year,provisional_proxy,0.62,P0,"Positive emissions are scenario-level totals, not sector-specific fossil and industrial traces.","sectoral fossil/industrial emissions pathways under no-AETHER, rebound, and net-zero cases",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,land_use_CO2,land-use CO2 emissions,,,missing,0.0,P0,"Land-use CO2 is missing even though BECCS, afforestation, biomass supply, and land footprints matter.",land-use emissions and removals by land-intensive pathway,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,CH4,methane emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Methane is buried inside aggregate non-CO2 forcing.,"CH4 baseline, mitigation, leakage, agriculture, fossil, and rebound trajectories",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,N2O,nitrous oxide emissions or concentration,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P0,Nitrous oxide is buried inside aggregate non-CO2 forcing and may move with bioenergy and land-use cases.,"N2O baseline and mitigation pathways, including bioenergy and agriculture interactions",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,halogenated_gases,F-gases and ozone-depleting substances,0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Halogenated gases are not separated from aggregate non-CO2 forcing.,species-level F-gas and ODS pathways or imported assessed scenario trajectories,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,ozone_precursors,"NOx, CO, VOC emissions",0.0,W/m2 aggregate non-CO2 forcing,aggregate_placeholder,0.35,P1,Tropospheric ozone chemistry is not represented.,"NOx, CO, and VOC pathways or assessed scenario imports",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,SO2_aerosol_precursor,sulfur dioxide emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P0,"Aerosol cooling is an aggregate forcing path, not precursor-emissions chemistry.","SO2 emissions by energy, industry, and cleanup scenario",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,black_carbon,BC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Black-carbon forcing is not separated from aggregate aerosol forcing.,BC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,organic_carbon,OC emissions,0.0,W/m2 aggregate aerosol forcing,aggregate_placeholder,0.35,P1,Organic-carbon forcing is not separated from aggregate aerosol forcing.,OC emissions or assessed scenario imports,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,ammonia_nitrate,NH3 and nitrate aerosol precursors,,,missing,0.0,P1,Nitrate aerosol chemistry and ammonia precursors are missing.,NH3 and nitrate-relevant precursor pathways,do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,land_use_albedo_forcing,land-use forcing,,,missing,0.0,P1,Land-use albedo and biogeophysical response are missing.,"land-use forcing by afforestation, biomass, solar/industrial land, and materials footprints",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,lifecycle_species_trace,"CO2, CH4, N2O lifecycle emissions",,,missing,0.0,P0,"Lifecycle emissions are route-level CO2e stress tests, not annual species traces.","pathway-specific LCA time series with CO2, CH4, N2O, replacement, recycling, and decommissioning",do not use as species-emissions result
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,historical_spinup_state,"historical emissions, concentrations, forcing, and temperature initialization",1.420588,deg C screening initial state,provisional_proxy,0.62,P0,"The 2026 initialization is a screening state, not a full historical reconstruction.","historical emissions, concentration, forcing, and observed-temperature spin-up through 2026",diagnostic handoff only
baseline_constant_emissions_no_aether__co2_only_screen,baseline_constant_emissions_no_aether,co2_only_screen,2030,ZEC_and_net_negative_response,zero-emissions commitment and net-negative response diagnostic,,,missing,0.0,P0,ZEC and net-negative temperature-response behavior are not separated from the forcing screen.,ZEC and net-negative response experiment set for AETHER net-zero and drawdown cases,do not use as species-emissions result
