publication_status,absolute_projection_accepted,failure_reason,case,display_name,emissions_policy,matched_no_aether_case,carbon_baseline_id,carbon_baseline_method,forcing_policy,forcing_policy_name,temperature_2026_c,temperature_2050_c,temperature_2100_c,temperature_change_2026_to_2100_c,peak_temperature_c,peak_temperature_year,minimum_temperature_c,minimum_temperature_year,co2_ppm_2100,co2_erf_2100_w_m2,non_co2_positive_forcing_2100_w_m2,aerosol_forcing_2100_w_m2,total_erf_2100_w_m2,avoided_temperature_vs_no_aether_2100_c,model_class,caveat
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.917556,2.306588,0.851827,2.306588,2100,1.454761,2026,478.118047,3.074368,1.050000,-0.050000,4.074368,0.862669,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_constant_emissions_58pct_rebound,"AETHER, 58% rebound",constant,baseline_constant_emissions_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.694432,1.907982,0.453221,1.907982,2100,1.454761,2026,478.118047,3.074368,0.200000,0.000000,3.274368,0.862668,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,0.946507,0.861586,-0.332605,1.289791,2035,0.838461,2066,350.000000,1.305821,0.000000,0.000000,1.305821,0.916436,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.227275,1.123193,-0.331568,1.561165,2035,1.116483,2069,350.000000,1.305821,0.450000,-0.050000,1.705821,0.916436,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.413212,1.426645,-0.028116,1.621328,2038,1.356789,2060,350.000000,1.305821,1.050000,-0.050000,2.305821,0.916435,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_half_2046_zero_2060,AETHER plus delayed zero,half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.190088,1.028038,-0.426723,1.551696,2034,1.028038,2100,350.000000,1.305821,0.200000,0.000000,1.505821,0.916436,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,0.905488,0.859098,-0.335094,1.281638,2034,0.833994,2064,350.000000,1.305821,0.000000,0.000000,1.305821,0.809272,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.186256,1.120705,-0.334056,1.552201,2034,1.112742,2067,350.000000,1.305821,0.450000,-0.050000,1.705821,0.809273,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.372193,1.424157,-0.030604,1.604238,2037,1.347973,2057,350.000000,1.305821,1.050000,-0.050000,2.305821,0.809272,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050,AETHER plus net-zero 2050,net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.149069,1.025550,-0.429211,1.543878,2034,1.025550,2100,350.000000,1.305821,0.200000,0.000000,1.505821,0.809272,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050_25pct_rebound,"AETHER, net-zero 2050, 25% rebound",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.004352,0.864086,-0.330106,1.297723,2035,0.842898,2068,350.000000,1.305821,0.000000,0.000000,1.305821,0.804284,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050_25pct_rebound,"AETHER, net-zero 2050, 25% rebound",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.285121,1.125693,-0.329068,1.569464,2036,1.120140,2071,350.000000,1.305821,0.450000,-0.050000,1.705821,0.804285,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050_25pct_rebound,"AETHER, net-zero 2050, 25% rebound",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.471057,1.429144,-0.025617,1.637722,2039,1.364811,2062,350.000000,1.305821,1.050000,-0.050000,2.305821,0.804285,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,aether_net_zero_2050_25pct_rebound,"AETHER, net-zero 2050, 25% rebound",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.247933,1.030538,-0.424223,1.559199,2035,1.030538,2100,350.000000,1.305821,0.200000,0.000000,1.505821,0.804284,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_half_2046_zero_2060_no_aether,"No AETHER, half_2046_zero_2060",half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.546570,1.778022,0.583830,1.778022,2100,1.194192,2026,480.760224,3.105614,0.000000,0.000000,3.105614,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_half_2046_zero_2060_no_aether,"No AETHER, half_2046_zero_2060",half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.827338,2.039629,0.584868,2.039629,2100,1.454761,2026,480.760224,3.105614,0.450000,-0.050000,3.505614,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_half_2046_zero_2060_no_aether,"No AETHER, half_2046_zero_2060",half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,2.013275,2.343080,0.888319,2.343080,2100,1.454761,2026,480.760224,3.105614,1.050000,-0.050000,4.105614,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_half_2046_zero_2060_no_aether,"No AETHER, half_2046_zero_2060",half_2046_zero_2060,baseline_half_2046_zero_2060_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.790151,1.944474,0.489713,1.944474,2100,1.454761,2026,480.760224,3.105614,0.200000,0.000000,3.305614,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_net_zero_2050_no_aether,"No AETHER, net_zero_2050",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",co2_only_screen,CO2-only emulator screen,1.194192,1.464823,1.668370,0.474179,1.668370,2100,1.194192,2026,464.017733,2.904644,0.000000,0.000000,2.904644,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Not a total warming estimate; comparison case only. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_net_zero_2050_no_aether,"No AETHER, net_zero_2050",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",mitigation_with_aerosol_cleanup,Mitigation with aerosol cleanup,1.454761,1.745592,1.929978,0.475217,1.929978,2100,1.454761,2026,464.017733,2.904644,0.450000,-0.050000,3.304644,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,"Non-CO2 and aerosol paths are policy screens, not forecasts. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies."
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_net_zero_2050_no_aether,"No AETHER, net_zero_2050",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",nonco2_delay_aerosol_unmasking,Delayed non-CO2 mitigation plus aerosol unmasking,1.454761,1.931528,2.233429,0.778668,2.233429,2100,1.454761,2026,464.017733,2.904644,1.050000,-0.050000,3.904644,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Useful failure case for AETHER governance; not a central forecast. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
quarantined_hybrid_off_reference,false,Hybrid zero-future CO2 response fails (late rebound above initial); absolute ppm/temperature trajectories quarantined.,baseline_net_zero_2050_no_aether,"No AETHER, net_zero_2050",net_zero_2050,baseline_net_zero_2050_no_aether,rcmip_v5.1.0_ssp245_world_co2,"published evolving reference plus Joos future emissions anomalies; conditional hybrid screen, not historical reservoir calibration",active_full_forcing_management,Active full-forcing management,1.454761,1.708404,1.834822,0.380061,1.834822,2100,1.454761,2026,464.017733,2.904644,0.200000,0.000000,3.104644,0.000000,TCR-targeted two-box conditional diagnostic; not historically calibrated,Requires non-CO2 policy and technology success outside the AETHER CO2-removal system. Absolute temperature is not a validated prediction; attribution uses matching CO2 and non-CO2 policies.
