scenario,sample_id,weighted_effective_task_hour_multiplier,adjusted_robot_stock_million,adjusted_annual_production_robots,production_multiple_of_ifr_2024,adjusted_annual_operating_cost_billion_usd,stock_multiplier_vs_baseline,production_multiplier_vs_baseline,cost_multiplier_vs_baseline,passes_ifr_installation_count_basis
aether_automation_push,138,0.309097,4.698356,881058.7804,1.625342,308.032530,3.889142,3.768431,5.141080,false
aether_automation_push,139,0.337097,4.327561,798161.7956,1.472417,306.485674,3.582210,3.413867,5.115263,false
aether_automation_push,140,0.354126,4.162793,761531.6212,1.404843,309.383691,3.445820,3.257194,5.163631,false
aether_automation_push,141,0.300574,4.963183,907315.7591,1.673780,372.421357,4.108357,3.880737,6.215733,false
aether_automation_push,142,0.314389,5.254354,957899.8875,1.767095,411.596523,4.349378,4.097093,6.869569,false
aether_automation_push,143,0.297765,4.994369,924203.5235,1.704933,358.307803,4.134172,3.952968,5.980177,false
aether_automation_push,144,0.338029,4.107888,792155.9866,1.461337,240.361133,3.400372,3.388180,4.011641,false
aether_automation_push,145,0.320191,4.769482,888279.7615,1.638663,333.465534,3.948017,3.799317,5.565558,false
aether_automation_push,146,0.348915,4.010299,740494.9834,1.366035,283.000530,3.319592,3.167217,4.723295,false
aether_automation_push,147,0.316990,4.490138,849468.1835,1.567065,289.338975,3.716786,3.633313,4.829084,false
aether_automation_push,148,0.318145,4.637965,858269.2199,1.583301,331.011872,3.839152,3.670957,5.524607,false
aether_automation_push,149,0.293622,5.223049,1008973.0340,1.861313,300.538672,4.323465,4.315541,5.016007,false
aether_automation_push,150,0.287434,4.935924,920426.7161,1.697966,342.257358,4.085793,3.936814,5.712295,false
aether_automation_push,151,0.337784,4.121465,769121.9404,1.418845,275.348555,3.411611,3.289659,4.595583,false
aether_automation_push,152,0.337463,4.134883,776789.3945,1.432990,266.864942,3.422718,3.322454,4.453991,false
aether_automation_push,153,0.320551,4.529269,834222.6243,1.538940,318.387613,3.749177,3.568105,5.313907,false
aether_automation_push,154,0.338290,4.185886,788419.9192,1.454445,267.025414,3.464936,3.372200,4.456669,false
aether_automation_push,155,0.333599,4.354516,823245.1995,1.518690,276.438624,3.604523,3.521153,4.613776,false
aether_automation_push,156,0.340182,4.706889,856036.8414,1.579182,359.739099,3.896205,3.661408,6.004066,false
aether_automation_push,157,0.312255,5.259132,982149.6660,1.811830,362.393241,4.353333,4.200813,6.048364,false
aether_automation_push,158,0.360124,4.077946,751756.6210,1.386810,290.995473,3.375588,3.215385,4.856731,false
aether_automation_push,159,0.278750,4.909923,915891.2615,1.689599,333.227482,4.064270,3.917416,5.561585,false
aether_automation_push,160,0.336125,4.916153,877821.0009,1.619369,413.152333,4.069427,3.754583,6.895536,false
aether_automation_push,161,0.332088,4.242570,786891.9376,1.451627,298.257183,3.511857,3.365664,4.977929,false
aether_automation_push,162,0.301278,4.636430,879851.5235,1.623115,287.357627,3.837881,3.763268,4.796015,false
aether_automation_push,163,0.275333,6.019243,1107437.9699,2.042957,445.783985,4.982528,4.736692,7.440160,false
aether_automation_push,164,0.335163,4.314718,791958.3542,1.460973,318.824073,3.571580,3.387334,5.321192,false
aether_automation_push,165,0.319316,4.772064,890276.4786,1.642346,331.549103,3.950155,3.807857,5.533573,false
aether_automation_push,166,0.314548,4.681291,859394.6809,1.585377,348.393722,3.875016,3.675770,5.814711,false
aether_automation_push,167,0.331627,4.435190,815181.7215,1.503814,322.473794,3.671302,3.486664,5.382106,false
aether_automation_push,168,0.335179,4.397188,817909.6491,1.508847,304.930304,3.639845,3.498332,5.089304,false
aether_automation_push,169,0.299526,4.598376,859837.4680,1.586194,303.322287,3.806382,3.677664,5.062466,false
aether_automation_push,170,0.319107,4.947124,893408.8301,1.648125,395.863751,4.095064,3.821254,6.606988,false
aether_automation_push,171,0.338240,4.887205,922480.7466,1.701755,326.320546,4.045465,3.945600,5.446308,false
aether_automation_push,172,0.381218,3.725197,684277.7182,1.262328,270.382469,3.083593,2.926767,4.512699,false
aether_automation_push,173,0.310512,4.875122,908793.4144,1.676506,341.009977,4.035463,3.887057,5.691476,false
aether_automation_push,174,0.311122,5.354958,980074.2408,1.808002,404.761400,4.432655,4.191937,6.755490,false
aether_automation_push,175,0.336525,4.200680,763424.0076,1.408334,303.856479,3.477182,3.265288,5.071382,false
aether_automation_push,176,0.294064,5.627802,1014352.4220,1.871237,451.628550,4.658506,4.338550,7.537706,false
aether_automation_push,177,0.344094,4.358149,807397.4126,1.489454,312.800764,3.607530,3.453370,5.220662,false
aether_automation_push,178,0.306404,5.425463,997166.8416,1.839533,409.267204,4.491017,4.265044,6.830693,false
aether_automation_push,179,0.307479,4.824932,908655.7549,1.676252,321.780559,3.993917,3.886468,5.370536,false
aether_automation_push,180,0.315338,4.505828,836462.5428,1.543072,317.878173,3.729774,3.577686,5.305405,false
aether_automation_push,181,0.364113,3.806441,698353.0207,1.288294,274.689459,3.150845,2.986969,4.584582,false
aether_automation_push,182,0.338772,4.312326,791758.8300,1.460605,306.478864,3.569599,3.386481,5.115149,false
aether_automation_push,183,0.315033,4.585958,863249.6632,1.592488,300.649312,3.796103,3.692259,5.017854,false
aether_automation_push,184,0.340817,4.379091,817887.1470,1.508805,295.702791,3.624865,3.498236,4.935296,false
aether_automation_push,185,0.306982,4.994386,913775.5105,1.685696,375.742927,4.134185,3.908366,6.271171,false
aether_automation_push,186,0.345016,4.117293,775445.0556,1.430510,262.509429,3.408158,3.316704,4.381297,false
aether_automation_push,187,0.331632,4.239671,806732.5034,1.488228,257.311422,3.509458,3.450526,4.294542,false
aether_automation_push,188,0.321463,4.663175,843261.5188,1.555615,360.623778,3.860020,3.606766,6.018831,false
aether_automation_push,189,0.366788,4.072854,739694.1457,1.364558,312.270478,3.371372,3.163792,5.211812,false
aether_automation_push,190,0.365512,3.797659,710335.5599,1.310398,249.928233,3.143575,3.038220,4.171316,false
aether_automation_push,191,0.309092,5.261021,984913.5558,1.816929,364.782440,4.354897,4.212635,6.088239,false
aether_automation_push,192,0.329519,4.413500,821014.0201,1.514574,302.211067,3.653348,3.511610,5.043920,false
aether_automation_push,193,0.328837,4.431343,836341.0329,1.542848,287.421870,3.668117,3.577166,4.797087,false
aether_automation_push,194,0.287602,4.804096,916298.2691,1.690350,293.679858,3.976670,3.919156,4.901533,false
aether_automation_push,195,0.326915,4.714472,852231.5841,1.572163,373.154261,3.902482,3.645133,6.227966,false
aether_automation_push,196,0.304755,4.661867,886192.3881,1.634812,288.585586,3.858937,3.790389,4.816510,false
aether_automation_push,197,0.301162,4.955461,919575.7586,1.696396,352.523222,4.101965,3.933175,5.883632,false
aether_automation_push,198,0.301491,4.480083,842027.2285,1.553338,290.572648,3.708463,3.601487,4.849674,false
aether_automation_push,199,0.315252,5.146632,923262.8600,1.703198,416.648385,4.260210,3.948945,6.953885,false
aether_automation_push,200,0.329626,4.344667,804573.9224,1.484246,310.368789,3.596370,3.441293,5.180073,false
aether_automation_push,201,0.338464,4.395130,819516.1341,1.511810,294.460765,3.638141,3.505203,4.914567,false
aether_automation_push,202,0.333231,3.991434,762086.2931,1.405866,243.228967,3.303975,3.259567,4.059505,false
aether_automation_push,203,0.347747,4.104888,751436.5218,1.386220,304.454674,3.397889,3.214016,5.081366,false
aether_automation_push,204,0.349584,4.013288,750411.9909,1.384330,269.729377,3.322066,3.209634,4.501798,false
aether_automation_push,205,0.309999,5.141104,954479.2757,1.760785,370.929956,4.255634,4.082463,6.190842,false
aether_automation_push,206,0.330964,4.182014,784909.1319,1.447969,273.622409,3.461731,3.357184,4.566773,false
aether_automation_push,207,0.358930,3.846565,716678.2403,1.322099,261.178685,3.184058,3.065349,4.359087,false
aether_automation_push,208,0.319360,4.354234,829024.5155,1.529351,264.624594,3.604289,3.545872,4.416599,false
aether_automation_push,209,0.325517,4.770859,870480.2147,1.605827,366.586684,3.949157,3.723185,6.118352,false
aether_automation_push,210,0.335997,4.096298,766535.0289,1.414073,276.836299,3.390778,3.278595,4.620413,false
aether_automation_push,211,0.354832,3.771626,709752.4676,1.309323,242.201125,3.122026,3.035726,4.042350,false
aether_automation_push,212,0.331939,4.343315,818661.2848,1.510233,282.283903,3.595250,3.501547,4.711334,false
aether_automation_push,213,0.367513,4.033224,742711.6103,1.370125,292.831402,3.338568,3.176698,4.887373,false
aether_automation_push,214,0.321579,4.393384,830452.8546,1.531986,279.913848,3.636696,3.551982,4.671778,false
aether_automation_push,215,0.346258,3.993653,735114.5596,1.356110,278.846940,3.305812,3.144204,4.653971,false
aether_automation_push,216,0.361379,3.909555,718683.0317,1.325798,279.518879,3.236199,3.073924,4.665186,false
aether_automation_push,217,0.318662,4.829190,885860.1394,1.634199,358.037426,3.997442,3.788968,5.975665,false
aether_automation_push,218,0.349667,4.283839,792577.7072,1.462115,305.873962,3.546019,3.389983,5.105054,false
aether_automation_push,219,0.325234,4.463414,830488.3246,1.532051,311.960413,3.694665,3.552133,5.206637,false
aether_automation_push,220,0.314974,4.470091,849262.3464,1.566685,279.799471,3.700192,3.632433,4.669869,false
aether_automation_push,221,0.347040,4.114134,758929.9244,1.400043,294.447760,3.405543,3.246066,4.914350,false
aether_automation_push,222,0.322301,4.643913,858837.6769,1.584349,323.951043,3.844076,3.673388,5.406761,false
aether_automation_push,223,0.343098,5.236116,932122.0591,1.719541,443.972093,4.334282,3.986837,7.409919,false
aether_automation_push,224,0.314950,4.781984,868097.2739,1.601431,370.224890,3.958366,3.712993,6.179074,false
aether_automation_push,225,0.330781,4.133736,780837.1562,1.440457,257.523175,3.421768,3.339767,4.298076,false
aether_automation_push,226,0.352176,4.363823,810201.6548,1.494627,309.990820,3.612226,3.465364,5.173764,false
aether_automation_push,227,0.308199,4.932966,905427.8487,1.670297,365.611764,4.083344,3.872662,6.102081,false
aether_automation_push,228,0.344817,4.036837,746261.0854,1.376672,284.889352,3.341558,3.191880,4.754819,false
aether_automation_push,229,0.305665,5.069766,924994.3847,1.706392,384.627994,4.196583,3.956351,6.419463,false
aether_automation_push,230,0.307432,4.681657,853937.5907,1.575310,344.596860,3.875319,3.652430,5.751341,false
aether_automation_push,231,0.365001,3.764189,701311.5088,1.293751,253.145421,3.115869,2.999623,4.225011,false
aether_automation_push,232,0.317810,4.431738,819831.1112,1.512391,307.193009,3.668445,3.506551,5.127069,false
aether_automation_push,233,0.318973,4.580691,860367.6744,1.587172,307.519129,3.791743,3.679932,5.132512,false
aether_automation_push,234,0.334284,4.731527,879390.3152,1.622264,333.772670,3.916599,3.761295,5.570685,false
aether_automation_push,235,0.303603,4.754754,895046.6326,1.651146,316.878448,3.935826,3.828260,5.288719,false
aether_automation_push,236,0.307318,4.642451,859726.0053,1.585988,333.685833,3.842866,3.677188,5.569235,false
aether_automation_push,237,0.337961,4.071370,758437.5306,1.399135,276.425208,3.370143,3.243960,4.613552,false
aether_automation_push,238,0.341841,4.289864,799575.0259,1.475024,290.860948,3.551006,3.419912,4.854486,false
aether_automation_push,239,0.332854,4.094155,781223.3040,1.441169,247.727374,3.389005,3.341419,4.134584,false
aether_automation_push,240,0.332154,4.532242,874967.7062,1.614105,266.043511,3.751638,3.742379,4.440281,false
aether_automation_push,241,0.345352,4.203401,782291.8427,1.443141,292.401373,3.479435,3.345989,4.880195,false
aether_automation_push,242,0.341260,3.973196,741373.1239,1.367655,269.104000,3.288879,3.170973,4.491361,false
aether_automation_push,243,0.272859,5.239604,979001.3588,1.806022,356.827604,4.337169,4.187348,5.955473,false
aether_automation_push,244,0.316055,4.577709,871608.5232,1.607908,282.764620,3.789274,3.728011,4.719357,false
aether_automation_push,245,0.327354,4.983569,891754.7933,1.645073,407.153316,4.125232,3.814180,6.795412,false
aether_automation_push,246,0.325607,4.681438,851351.7422,1.570539,358.987361,3.875138,3.641370,5.991519,false
aether_automation_push,247,0.337548,4.252585,805104.1300,1.485224,262.498951,3.520147,3.443561,4.381122,false
aether_automation_push,248,0.325281,4.563111,855539.1523,1.578264,299.001649,3.777190,3.659280,4.990354,false
aether_automation_push,249,0.293660,5.498732,1018985.0968,1.879783,397.192351,4.551666,4.358365,6.629163,false
aether_automation_push,250,0.335520,4.609965,823302.1861,1.518795,374.870273,3.815975,3.521397,6.256606,false
aether_automation_push,251,0.340385,4.437184,846935.6054,1.562393,276.096784,3.672952,3.622481,4.608071,false
aether_automation_push,252,0.307141,4.521313,848340.1813,1.564984,299.020017,3.742591,3.628489,4.990661,false
aether_automation_push,253,0.340073,4.265366,778145.4898,1.435491,321.982361,3.530728,3.328254,5.373904,false
aether_automation_push,254,0.329107,4.871697,888568.2140,1.639195,373.237529,4.032628,3.800550,6.229355,false
aether_automation_push,255,0.306900,4.965200,901040.0333,1.662202,381.095751,4.110026,3.853894,6.360509,false
aether_automation_push,256,0.330517,4.634311,846277.5327,1.561179,339.383284,3.836127,3.619666,5.664326,false
aether_automation_push,257,0.329554,4.485491,825321.6573,1.522520,328.352949,3.712940,3.530035,5.480229,false
aether_automation_push,258,0.339751,4.632761,831588.7307,1.534081,375.430537,3.834845,3.556840,6.265957,false
