scenario,scenario_name,task_family,display_name,assigned_robot_class,annual_useful_task_hours_billion,useful_hours_per_robot_year,robot_stock_required,robot_stock_required_million,annual_replacement_flow,delivered_cost_usd_per_useful_hour,annual_robot_operating_cost_billion_usd,robot_stock_capex_billion_usd,evidence_grade
aether_automation_push,AETHER automation push,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.275000,7000.0000,39285.7143,0.039286,4910.7143,7.3396,2.018390,5.500000,C
aether_automation_push,AETHER automation push,module_manufacturing,Module manufacturing,industrial_factory_robot,0.027000,6000.0000,4500.0000,0.004500,450.0000,3.0521,0.082407,0.270000,B/C
aether_automation_push,AETHER automation push,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.031500,4000.0000,7875.0000,0.007875,787.5000,19.5600,0.616140,1.968750,C
aether_automation_push,AETHER automation push,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.018000,3500.0000,5142.8571,0.005143,514.2857,40.3036,0.725464,2.314286,D
aether_automation_push,AETHER automation push,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.009000,5500.0000,1636.3636,0.001636,233.7662,1.3825,0.012443,0.032727,B/C
aether_automation_push,AETHER automation push,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.004500,5000.0000,900.0000,0.000900,180.0000,0.4978,0.002240,0.003600,C
deep_modular_abundance,Deep modular abundance,plant_operations_maintenance,Plant O&M and maintenance,humanoid_generalist,0.630000,5500.0000,114545.4545,0.114545,16363.6364,1.1284,0.710874,1.718182,C
deep_modular_abundance,Deep modular abundance,materials_handling_logistics,Materials handling and logistics,mobile_logistics_robot,0.270000,6500.0000,41538.4615,0.041538,5192.3077,0.4741,0.127997,0.415385,B/C
deep_modular_abundance,Deep modular abundance,storage_field_operations,Storage field operations,drilling_subsurface_robotics,0.360000,4800.0000,75000.0000,0.075000,6250.0000,11.2526,4.050928,18.750000,D
deep_modular_abundance,Deep modular abundance,mrv_sensor_auditing,MRV sensing and auditing,mrv_drones_sensor_nodes,0.270000,7500.0000,36000.0000,0.036000,6000.0000,0.1120,0.030242,0.054000,C
deep_modular_abundance,Deep modular abundance,factory_spares_replacement,Factory spares and replacements,industrial_factory_robot,0.180000,7000.0000,25714.2857,0.025714,2142.8571,1.1682,0.210276,0.900000,B/C
deep_modular_abundance,Deep modular abundance,robotic_labs_process_improvement,Robotic labs and process improvement,robotic_lab_workcell,0.090000,8000.0000,11250.0000,0.011250,1125.0000,2.3723,0.213510,0.787500,C
deep_modular_abundance,Deep modular abundance,module_manufacturing,Module manufacturing,industrial_factory_robot,0.012000,7000.0000,1714.2857,0.001714,142.8571,1.1682,0.014018,0.060000,B/C
deep_modular_abundance,Deep modular abundance,construction_commissioning,Construction and commissioning,autonomous_construction_equipment,0.014000,5200.0000,2692.3077,0.002692,224.3590,6.0236,0.084330,0.376923,C
deep_modular_abundance,Deep modular abundance,storage_wells_corridors,Storage wells and corridors,drilling_subsurface_robotics,0.008000,4800.0000,1666.6667,0.001667,138.8889,11.2526,0.090021,0.416667,D
deep_modular_abundance,Deep modular abundance,logistics_ramp,Buildout logistics ramp,mobile_logistics_robot,0.004000,6500.0000,615.3846,0.000615,76.9231,0.4741,0.001896,0.006154,B/C
deep_modular_abundance,Deep modular abundance,mrv_initialization,MRV initialization,mrv_drones_sensor_nodes,0.002000,7500.0000,266.6667,0.000267,44.4444,0.1120,0.000224,0.000400,C
