check_id,category,formula_or_rule,calculated_value,expected_value,tolerance,unit,status,interpretation,source_artifacts
lca_signed_retention_then_debit_near_zero_clean_power_ocean_alkalinity_enhancement,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,12.228471000,12.228478000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_ocean_alkalinity_enhancement,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",7.156346000,7.156349895,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_ocean_alkalinity_enhancement,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_near_zero_clean_power_beccs,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,8.140977000,8.140972000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_beccs,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",6.912259000,6.912255096,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_beccs,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_near_zero_clean_power_biochar,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,4.294401000,4.294402000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_biochar,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.617051000,2.617051523,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_biochar,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_near_zero_clean_power_afforestation_reforestation,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,2.483062000,2.483063000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_afforestation_reforestation,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",0.932886000,0.932886769,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_afforestation_reforestation,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_near_zero_clean_power_direct_ocean_capture,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,3.342502000,3.342500000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_near_zero_clean_power_direct_ocean_capture,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.751147000,2.751144900,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_near_zero_clean_power_direct_ocean_capture,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_daccs_geologic,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,36.309464000,36.309444000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_daccs_geologic,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",33.487130000,33.487110918,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_daccs_geologic,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_enhanced_weathering,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,17.158611000,17.158611000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_enhanced_weathering,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",11.502275000,11.502274884,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_enhanced_weathering,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_ocean_alkalinity_enhancement,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,12.049305000,12.049312000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_ocean_alkalinity_enhancement,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",7.051494000,7.051498369,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_ocean_alkalinity_enhancement,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_beccs,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,8.104866000,8.104861000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_beccs,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",6.881599000,6.881594329,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_beccs,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_biochar,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,4.274401000,4.274402000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_biochar,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.604863000,2.604863323,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_biochar,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_afforestation_reforestation,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,2.478895000,2.478897000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_afforestation_reforestation,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",0.931321000,0.931321603,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_afforestation_reforestation,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_low_carbon_mixed_power_direct_ocean_capture,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,3.192502000,3.192500000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_low_carbon_mixed_power_direct_ocean_capture,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.627685000,2.627682900,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_low_carbon_mixed_power_direct_ocean_capture,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_daccs_geologic,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,33.517798000,33.517778000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_daccs_geologic,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",30.912459000,30.912441116,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_daccs_geologic,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_enhanced_weathering,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,16.554444000,16.554444000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_enhanced_weathering,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",11.097272000,11.097271535,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_enhanced_weathering,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_ocean_alkalinity_enhancement,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,11.377430000,11.377437000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_ocean_alkalinity_enhancement,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",6.658299000,6.658303681,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_ocean_alkalinity_enhancement,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_beccs,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,7.969449000,7.969444000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_beccs,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",6.766620000,6.766615817,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_beccs,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_biochar,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,4.199401000,4.199402000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_biochar,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.559157000,2.559157573,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_biochar,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_afforestation_reforestation,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,2.463270000,2.463272000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_afforestation_reforestation,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",0.925451000,0.925451290,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_afforestation_reforestation,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_grid_leakage_case_direct_ocean_capture,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,2.630002000,2.630000000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_grid_leakage_case_direct_ocean_capture,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.164702000,2.164700400,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_grid_leakage_case_direct_ocean_capture,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_daccs_geologic,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,27.934464000,27.934444000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_daccs_geologic,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",25.763118000,25.763099668,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_daccs_geologic,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_enhanced_weathering,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,15.346111000,15.346111000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_enhanced_weathering,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",10.287266000,10.287265509,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_enhanced_weathering,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_ocean_alkalinity_enhancement,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,10.033680000,10.033687000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_ocean_alkalinity_enhancement,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",5.871910000,5.871914306,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_ocean_alkalinity_enhancement,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_beccs,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,7.698616000,7.698611000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_beccs,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",6.536664000,6.536659642,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_beccs,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_biochar,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,4.049401000,4.049402000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_biochar,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",2.467745000,2.467746073,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_biochar,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_afforestation_reforestation,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,2.432020000,2.432022000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_afforestation_reforestation,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",0.913710000,0.913710665,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_afforestation_reforestation,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
lca_signed_retention_then_debit_fossil_contaminated_case_direct_ocean_capture,lifecycle accounting,gross * retained_fraction_after_100y - lifecycle_emissions,1.505002000,1.505000000,0.000050000,GtCO2e/year,pass,Signed net benefit preserves any negative physical-accounting result; lifecycle emissions are not reduced by the permanence haircut.,aether_lifecycle_emissions_by_pathway.csv
lca_credit_floor_then_mrv_fossil_contaminated_case_direct_ocean_capture,lifecycle accounting,"max(signed_net, 0) * mrv_multiplier",1.238737000,1.238735400,0.000050000,GtCO2e/year,pass,Only the credit-eligible layer is floored at zero before MRV buffers apply.,aether_lifecycle_emissions_by_pathway.csv
lca_source_review_fossil_contaminated_case_direct_ocean_capture,evidence boundary,human source and model review required,,,,,review_required,This LCA row is a scenario placeholder or lacks a source key; arithmetic agreement is not source validation.,aether_lifecycle_emissions_by_pathway.csv
